'-35.349995','149.089214','Phillip Salvos Store','Phillip Market Place, off Botany Street'
'-36.775799','144.254508','Salvation Army Family Store','57 High Street'
'-36.796498','144.242770','Salvation Army','14 Lockwood Road'
'-36.741705','144.262783','Salvation Army','9 Whip Court'
'-36.757522','144.286158','St Vinnies','31 Chapel Street'
'-36.795130','144.243906','St Vinnies','98 High Street'
'-36.762994','144.281417','Vision Australia','3 Wills Street'
'-36.771810','144.261999','Uniting Care','Crn. Panton & Laurel Streets'
'-36.774501','144.304975','Salvation Army','Shop 6, Strath Hill, Edwards Road'
'-36.755331','144.283758','Uniting Care','157 McCrae Street'
'-36.757967','144.282697','Uniting Care','198 Hargreaves Street'
'-36.708626','144.236286','Uniting Care','Sailors Gully Road'
'-36.761218','144.282213','Been around Before Store','Crn Coles Arcade & Lyttleton Terrace'
'-36.718388','144.253283','St Vinnies','23 High Street'
'-36.757923','144.282758','RSPCA','194 Hargreaves Street'
'-36.758261','144.276602','View Hill Fellowship','Crn. McKenzie Street & View St'
'-36.786297','144.246254','Native Wildlife','281 High Street'
'-36.747034','144.258062','St. Matthews OpShop','Crn. Eaglehawk Rd & Creeth St'
'-36.743853','144.282857','St. Johns','Crn. Smith & Baynes Street'
'-35.238119','149.060650','Belconnen Salvos Store','88 Josephson Street'
'-35.321552','149.153291','Fyshwick Salvos Store','15 Midura Street'
'-35.238285','149.062194','Belconnen St Vinnies','Cnr Rae & Purdue Streets'
'-35.325407','149.082965','Curtin St Vinnies','Curtin Place'
'-35.251281','149.136500','Dickson St Vinnies','Cape Street'
'-35.332045','149.152249','Narrabundah St Vinnies','Boolimba Crescent'
'-35.416474','149.062982','Tuggeranong St Vinnies','Cnr Athllon Dr & Pitman St'
'-35.424867','149.073486','Tuggeranong Salvos','Shop 4. 5 Tuggeranong Square'
'-35.214622','149.137712','Mitchell Salvos','Cnr Lysaght and Hoskins St'
'-35.341184','149.051123','Weston Salvos','14 Trennery St'
'-35.352542','149.233315','Queanbeyan Salvos','203 Crawford St'
'-35.253656','149.069581','Jamison Salvos','53 Bowman St'
'-35.351912','149.231401','Queanbeyan Family Store','8 Morrisett St'
'-38.162051','145.939616','St Vinnies','2  26 Normanby St'
'-38.162890','145.930811','Been Around Before Store','3 Victoria St'
'-38.234520','145.057570','Three Legged Chair','18 Progress St'
'-38.235826','145.067364','Outlook Environmental','29 Racecourse Rd'
'-38.330722','144.987534','St Vinnies','184 Main St'
'-38.230388','145.037780','Church of Christ Opportunity Shop','90 Wilsons Rd'
'-38.218669','145.037314','Peters Place','Cnr Albert St & Octavia St'
'-38.357439','144.899532','Angel Op Shop Inc','Shop 2-1189 Point Nepean Rd'
'-38.359724','144.891446','McCrae Lions','Shop 1-1401 Point Nepean Rd'
'-38.356649','144.903800','All-Saints Opportunity Shop','8-10 Ninth Ave'
'-38.184465','145.087912','Kankama Opportunity Shop','16b Ranelagh Drv'
'-38.184587','145.089466','Salvation Army','Shop 1-87 Mount Eliza Way'
'-35.352051','149.088041','St Vincent','Colbee Crt'
'-38.157958','145.223869','George Vowell Centre Opportunity Shop','Frankston-Hastings Road'
'-38.363569','144.877220','MS Opportunity Shop','1607 Point Nepean Road'
'-38.359253','144.894770','Rosebud Hospital and Aged Care Opportunity Shop','Shop 10 - 1283 Nepean Highway'
'-38.381674','144.886395','Rotary Opportunity Warehouse','4-13 Newington Avenue'
'-38.307843','145.192727','Salvation Army Family Store','21 High Street'
'-38.371233','144.831235','Southern Peninsula Community Fund Opportunity Shop','2141 Point Nepean Road'
'-38.356894','144.903806','Uniting Church Opportunity Shop','Shop 5 Nepean Plaza'
'-38.184102','145.088344','Corowa Court Opportunity Shop','32 Ranelagh Drive'
'-38.238459','145.064454','Salvation Army','3-205 Tyabb Rd'
'-37.805980','144.998263','Abbotsord Salvos Store','81 Victoria Crescent'
'-37.781839','144.977539','Carlton Salvos Store','747 Nicholson Street'
'-37.802535','144.983887','Collingwood Salvos Store','216 - 218 Smith Street'
'-37.787751','144.930974','Flemington Salvos Store','1264 Racecourse Road'
'-37.812088','144.971358','Melbourne CBD Salvos Store','69 Bourke Street'
'-37.809947','144.993124','Richmond Salvos Store','42 Victoria Street'
'-37.829932','144.959428','South Melbourne Salvos Store','183 Clarendon Street'
'-37.864368','144.985112','St Kilda Salvos Store','90 Inkerman Street'
'-37.825237','144.993929','Been around Before Store','120 Swan Street'
'-37.799591','144.988771','St Vinnies','121- 123 Johnston St'
