'-35.349995','149.089214','Phillip Salvos Store','Phillip Market Place, off Botany Street'
'-36.775799','144.254508','Salvation Army Family Store','57 High Street'
'-36.796498','144.242770','Salvation Army','14 Lockwood Road'
'-36.741705','144.262783','Salvation Army','9 Whip Court'
'-36.757522','144.286158','St Vinnies','31 Chapel Street'
'-36.795130','144.243906','St Vinnies','98 High Street'
'-36.762994','144.281417','Vision Australia','3 Wills Street'
'-36.771810','144.261999','Uniting Care','Crn. Panton & Laurel Streets'
'-36.774501','144.304975','Salvation Army','Shop 6, Strath Hill, Edwards Road'
'-36.755331','144.283758','Uniting Care','157 McCrae Street'
'-36.757967','144.282697','Uniting Care','198 Hargreaves Street'
'-36.708626','144.236286','Uniting Care','Sailors Gully Road'
'-36.761218','144.282213','Been around Before Store','Crn Coles Arcade & Lyttleton Terrace'
'-36.718388','144.253283','St Vinnies','23 High Street'
'-36.757923','144.282758','RSPCA','194 Hargreaves Street'
'-36.758261','144.276602','View Hill Fellowship','Crn. McKenzie Street & View St'
'-36.786297','144.246254','Native Wildlife','281 High Street'
'-36.747034','144.258062','St. Matthews OpShop','Crn. Eaglehawk Rd & Creeth St'
'-36.743853','144.282857','St. Johns','Crn. Smith & Baynes Street'
'-35.238119','149.060650','Belconnen Salvos Store','88 Josephson Street'
'-35.321552','149.153291','Fyshwick Salvos Store','15 Midura Street'
'-35.238285','149.062194','Belconnen St Vinnies','Cnr Rae & Purdue Streets'
'-35.325407','149.082965','Curtin St Vinnies','Curtin Place'
'-35.251281','149.136500','Dickson St Vinnies','Cape Street'

